question_id,question_title,question,answer_llm,true_ans_llm_ans_relevance,true_ans_llm_ans_relevance,quest_llm_ans_relevance
14,Can I change my feeling of being worthless to everyone,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone","You're struggling with feelings of worthlessness and are having a hard time functioning.  It's important to reach out for professional help. A therapist can provide support and teach coping mechanisms to challenge negative thoughts and build resilience. Consider reaching out for professional support from a mental health professional. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
15,I'm seriously unhappy with everything in my life but I know I don't have any reason to feel this way,I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly. I can't get over the loss of a loved one and I'm not close to my family. What can I do,"Your feelings of sadness and lack of happiness are understandable given recent loss and feeling trapped by family obligations.  It sounds like you're struggling with the identity shift from pre-motherhood to motherhood, and this is causing a sense of loss and unhappiness.  Remember that your life isn’t all bad - you have loving family and an amazing life.  Consider therapy or exploring self-care activities to help you rediscover yourself and find joy again. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,PARTLY_RELEVANT
16,How can I stop treating people badly,"I feel like I'm so alone. I treat people horribly based on what's going on in my life and don't realize it. It ends up pushing them away, especially the ones I love the most. I have a weird feeling deep down inside, and it won't go away. I feel like I'm collapsing","You're feeling lost and alone, and that's understandable given your recent loss.  It's important to acknowledge these feelings and explore what might be causing them. The lack of connection and happiness you experience could stem from a disconnect with yourself, leading to unhealthy coping mechanisms. Focus on self-care practices like getting outside, enjoying hobbies, and building relationships with people who uplift you. Remember, therapy can also provide valuable tools and guidance in navigating these feelings. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,PARTLY_RELEVANT
17,How do depression and PMS symptoms contribute to one another and what can I do about it,"I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life. How can I live a more balanced life","Your mood swings during your cycle (PMS) can be related to depression, and it sounds like you're experiencing both.  Focus on self-care by incorporating exercise, meditation, healthy eating, and good sleep into your routine. If these don't provide relief, consider talking with your doctor about potential underlying hormonal issues or a referral to a therapist for support. Remember to track your mood swings and note any patterns you might notice. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,PARTLY_RELEVANT
18,How do I overcome my anxierty and depression,I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me. How do I overcome this anxierty and depression,"You're struggling with severe depression and anxiety, which makes daily life challenging.  Therapy, combining techniques like meditation and cognitive-behavioral therapy, can help manage these feelings. Addressing potential medical factors, such as hormonal imbalances, can also be beneficial. Remember to reach out for professional help if needed, whether it's through online platforms or in-person sessions with a therapist. You don't have to go through this alone. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
19,My family can't stand me,I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me,"You're experiencing intense feelings of worthlessness and blame due to your family dynamic.  These feelings are contributing to your depression. It's important to seek professional help from a therapist who can guide you through these difficult emotions and support you in setting healthy boundaries with your family. Remember, you deserve support and understanding, even if it feels challenging to achieve right now. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
20,My family says I have depression,"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks. Sometimes I feel i'm not worth knowing or i'm never going to do anything right. Are they right, am I depressed","It seems like you're trying to understand if what you're experiencing might be depression. You've described some challenging symptoms: 

* **Lack of motivation:** You're not engaging with work as usual.
* **Loss of interest:**  You're no longer finding enjoyment in things you once did, even with friends and laughter.
* **Distorted perspective:** The sense that life is pointless.

It's important to remember these symptoms are very common and can be signs of depression, but they're not a diagnosis on their own. 

**What we need to do next:**

1. **Talk it out:**  Your feelings are valid, even if you don't immediately know what they mean.  Talking to someone about how you feel (a trusted friend, family member, or therapist) can help gain clarity.
2. **Self-care:** Even if you're not feeling ""sad,"" taking care of yourself is crucial during this time: 
    * **Schedule downtime:** Give yourself permission to rest and recharge. 
    * **Focus on healthy habits:** Eating nutritious food, staying hydrated, and getting enough sleep can help improve your mood and energy levels. 
    * **Engage in activities you enjoy (even if briefly):**  Doing something enjoyable for a few minutes can lift your spirits.

3. **Consider professional support:** Talking to a mental health professional is a huge step toward understanding what's going on and finding ways to cope with these feelings.

Remember, you don't have to go through this alone. There are people who care about you and resources available to help you feel better.  


**Where to find help:**
* **National Suicide Prevention Lifeline:** 988
* **Crisis Text Line:** Text HOME to 741741
* **The National Alliance on Mental Illness (NAMI):** https://www.nami.org/

You deserve support and hope!  Take that first step today towards feeling better. 
",RELEVANT,RELEVANT,RELEVANT
22,How can I get people to listen,"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents. I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust","This is a great start to addressing the OP's needs! Here's a breakdown of what makes this response effective:

**Strengths:**

* **Empathetic Understanding:** The responses acknowledge the OP's feelings of being unheard and unappreciated by their parents. 
* **Actionable Advice:**  The response provides concrete steps, like scripting conversations with parents and communicating needs to friends, which is helpful for building a plan. 
* **Emphasis on Support:** It encourages seeking professional help (counseling) when needed, demonstrating care for the OP's well-being.
* **Hopeful Tone:**  Despite the challenging situation, there is a sense of hope and encouragement that suggests things can improve through communication, support, and self-care.

**Areas for Improvement:**

* **Specificity in Communication:** While the advice about scripting conversations is good, offering specific examples or prompts could be even more helpful. For instance:  ""Instead of 'You never listen,' try 'I feel unheard when I talk about [specific situation]. Can we find a time to talk where you can give me your full attention?'"" 
* **Exploring Underlying Issues:** The response touches on the importance of trust, but it could be deepened. For example:  ""Understanding why your childhood might feel incomplete is important. Have you had open conversations with other trusted adults (teachers, mentors, etc.) about this feeling?"" This can provide a broader perspective.
* **Self-Care Tips:**  Encouraging self-care activities alongside seeking support is crucial. Suggesting things like journaling, mindfulness exercises, or even simply taking time to do something enjoyable each day could help the OP cope with stress and anxiety.


**Overall:**

The response demonstrates a good understanding of the OP's situation and provides actionable advice. By incorporating more specific examples and exploring deeper aspects of communication and self-care, it can become even more effective in guiding the OP towards a brighter future. 
",RELEVANT,RELEVANT,PARTLY_RELEVANT
23,How can I get counseling if my primary care physician won't help,"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do","It's tough dealing with multiple conditions and not having access to proper help.  Here's what I suggest: 

1. **Explore Affordable Options:** Look into low-cost or sliding-scale counseling options, such as Pacific Clinics, Hathaway Sycamore, or your local mental health center.
2. **Contact Insurance Provider:** If you have insurance, call them to find out if there are in-network counselors available.  You could also check for ""superbill"" services from non-network providers. 
3. **Consider Online Options:** While not always ideal, online therapy or support groups can offer a sense of community and connection. 
4. **Seek Resources:** Connect with local organizations that may have funding options or resources to help you access care.  


Remember, you are not alone in this journey. Don't give up hope and keep searching for the support you need! 
",RELEVANT,RELEVANT,RELEVANT
24,I don't believe in myself anymore,"I was married to a narcissist sociopath for 10 years. During that time I was a general manager. I used to help him financially and in other ways when we were together. But things began to change. He emotionally and sexually drained me. I lost my spirit. I used to be a very happy person but now I am a loner. I left him and moved to another state. Currently, I'm working as a server which makes me believe less in myself. I feel pity for myself a lot but don't know what to do. When I have money problems, he does not help me. He actually enjoys seeing me have a hard time in my life. I need help","You've provided three excellent responses that address different aspects of this person's struggle: 

* **Response 1:** This response focuses on immediate help and actionable steps for addressing depression and feelings of worthlessness. The advice is concrete and encourages seeking support from a therapist or support group.
* **Response 2:**  This response delves deeper into the underlying causes of low self-esteem, encouraging self-reflection and challenge against negative thought patterns. It emphasizes the importance of building confidence and finding purpose in small ways.
* **Response 3:** This response acknowledges the severity of suicidal thoughts and urges immediate action for safety and well-being. The emphasis on getting help from qualified professionals is crucial.


**What makes these responses effective:**

1. **Empathy & Validation:**  All responses demonstrate understanding and empathy towards the person's feelings without judgment. 
2. **Practical Advice:** They don’t just provide words of support but also offer tangible steps and resources for action.
3. **Professional Guidance:** The advice encourages seeking professional help from therapists or mental health services as a foundational step.
4. **Focus on Action:** Each response emphasizes taking proactive steps to address the situation, rather than simply accepting these negative feelings as inherent traits. 

**Overall:** These responses offer a comprehensive and compassionate approach to helping someone struggling with extreme self-worth issues, highlighting the importance of seeking professional support. 


It's important to remember that while providing answers is essential, **encouraging further conversation and open communication with loved ones or professionals** can be incredibly helpful for someone in crisis.  
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
25,"If I am trying to stop self-harming and I seek help, will I need to be put in an inpatient setting","I have bipolar disorder, paranoid personality disorder, posttraumatic stress disorder, anxiety and obsessive-compulsive disorder. I last self-harmed a week ago. When I am stressed, overwhelmed, hurt, or angry, the urge to self-harm is all I can think of. I am trying to seek help","You're experiencing intense emotional challenges, leading to self-harm urges. While seeking help doesn't necessarily mean inpatient treatment, professional support can be crucial for managing these emotions safely. Dialectical Behavior Therapy (DBT) offers effective tools for coping and long-term recovery from self-harm.  Remember, reaching out is a significant step toward positive change, and you are not alone in this journey. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
26,Why do I feel sad all the time,I just feel sad all the time and I don't like anyone in my family. I feel like they're trying to control me and won't let me grow,"You're feeling sad all the time due to your family dynamics, including feelings of being controlled and unimportant. While these emotions may stem from your experiences with your family, remember that their behavior is likely rooted in personal issues rather than reflection of your worth. Seeking professional help from a therapist can provide guidance and support as you navigate these difficult emotions. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
27,Is it possible that I have depression,"I'm starting to think that I might have depression. The thing is though, I'm not exactly sad. I can joke with my friends and stuff, but I've stopped caring about my work, and I've been starting to think that life is pointless. I really have no clue if I need help, or if I'm just tired or something","It's possible you're experiencing symptoms of depression, but it could also be due to stress and life transitions.  Your feelings of apathy towards work and a sense of life's meaninglessness are concerning.  Talk to a therapist or mental health professional to explore these feelings further and develop coping strategies.  Remember that seeking help is a sign of strength, not weakness. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
28,How can I get over my posttraumatic stress disorder without my parents knowing about it,"I've had posttraumatic stress disorder for years without my parents ever finding out. I want to overcome it, but it’s so vivid, it’s like it’s happening again. I'm scared and paranoid. I have depression, which I have been struggling with since a young age","PTSD is a complex disorder that requires professional help. Cognitive Processing Therapy (CPT) is often effective, and finding a qualified therapist specializing in PTSD is crucial. Remember, you're not alone, and seeking help is a sign of strength. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,PARTLY_RELEVANT
29,How can I manage my anxiety,I have twin toddlers. I experienced a death of loved one prior to giving birth. I had a horrible break up with the father. People told him he was using me for money. My ex-boyfriend had extreme meltdowns every day for three years. I’m always alone with no friends,"This is great advice! It looks like the responses address some key points about approaching this situation:

* **Acknowledge Past Experiences:** The answers recognize your history of diagnosis and past self-harm, acknowledging these experiences are important to include. 
* **Seek Professional Guidance:**  It's highly recommended to talk to a therapist for guidance on how to approach parents. This is crucial in navigating sensitive conversations.
* **Focus on Your Needs:** Encourage the person to express their own needs and feelings without blaming or expecting others to know exactly what will help them. 
* **Prioritize Safety:** The answer highlights the importance of safety, especially when dealing with voices, and provides resources for immediate support if needed.  


**Here's a breakdown of why these answers are strong:**

1. **Empathy and Validation:** The responses validate your struggles and acknowledge the difficult emotions you might be experiencing. This can help create a foundation for open communication.
2. **Actionable Steps:** They provide clear steps to consider, such as: 
    * Contacting past therapists or specialists. 
    * Preparing for conversations about mental health with parents. 
    * Utilizing resources like the Crisis Text Line (text HOME to 741741) or the National Suicide Prevention Lifeline (988).  

**Additional Tips:**

* **Self-Compassion:** Remember that you are not alone, and your feelings are valid. It takes courage to ask for help.
* **Write a List:** If speaking with parents directly feels daunting, creating a concise list of what you need from them can ease the process. 
* **Safety Plan:**  If you're feeling overwhelmed, make sure to have a safety plan in place. This might include:
    * Identifying people you trust who can offer support (a teacher, school counselor, trusted friend) 
    * Having a list of emergency contacts handy.


**It’s important to remember that you are the expert on your own life.** If you feel safer talking to someone else first, like a teacher, counselor, or another trusted adult, they may be able to offer guidance and support as well. 

You've got this! You deserve help and support.  
",RELEVANT,RELEVANT,PARTLY_RELEVANT
30,How can I cope with depression,"In the last ten months, I've been kicked out, moved around three times, worked many jobs, stopped school to make money, had dad and mom get sick, was cheated on while pregnant, lost my baby, had relationship issues, and was betrayed. I can't get a job. I have no friends. I feel lonely and isolated. I've been dealing with all this by myself","You're experiencing overwhelming depression due to a series of major life events.  Focusing on small things you can control and seeking professional help are crucial steps. Engaging in self-care activities, like exercise or meditation, can also be beneficial for managing your mood. Remember, it's okay to ask for help, prioritize your well-being, and explore activities that bring you joy. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
31,How can I tell If I have depression,"I don't know if I have depression, but I have been very sad. There are nights that I don't sleep. I don't eat all day sometimes, I don't have energy to anything anymore","You're experiencing symptoms of depression that include sadness, sleep disturbances, loss of appetite, and lack of motivation. These are common signs of depression, but they can also be a result of stress or other life challenges.  It is important to talk to a professional about your feelings and explore potential solutions such as therapy or medication. 

Remember, you're not alone and there are resources available to help you feel better. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
32,How can I manage my anxiety and depression so I can feel normal again,My motivation has gone away. It's hard to get out of bed. I really don't know what to do anymore. I'm miserable. My anxiety and depression have taken over my life,"You're experiencing symptoms of depression and anxiety, which are impacting your motivation, energy levels, and overall well-being.  Behavioral activation techniques like walking or tasks can help shift your focus and restore some feelings of accomplishment. Remember, you're not alone in this struggle, and seeking professional support from a therapist is recommended for personalized guidance. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
33,Why do I feel like I will never have a good career/amount to anything financially,"I'm in my early 20s. I've worked since two months after I turned 18. I have “plans.” I could become an electrician, or I could operate heavy machinery. I have goals, but I do nothing to try to meet them because I don't feel I can. I just want a better life for my fiancée and the kids than I did","You're feeling lost and unfocused because you have a  deep desire for a better life, but struggle to take action.  Remember that you are capable of achieving anything you set your mind to, even if it seems difficult. Break down goals into smaller steps and focus on making progress, no matter how small.  Rediscovering yourself is about reconnecting with things you enjoy, not just accomplishments. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,PARTLY_RELEVANT
34,Why do I feel like I'm nothing more than a wife and mom,"I'm in my mid 20s with a husband and children. I love my family, but I feel like I've lost my identity, and I don't know who I am other than a mom and wife. At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know I'd feel like worse without them. I loathe myself at times. I have an amazing life, so why can't I just enjoy it","You're experiencing significant emotional turmoil stemming from feeling lost in your identity after transitioning into motherhood.  This shift can lead to negative self-perception and a lack of joy. It sounds like you have an amazing life, but perhaps you haven't fully explored your passions or allowed yourself time for personal growth outside of being a wife and mother. To begin addressing this, try exploring your interests, setting aside some dedicated time for them each week, and communicating with your husband about how you feel.  Remember that it's okay to struggle and seek support during these times. 
",RELEVANT,RELEVANT,RELEVANT
36,How can I be less paranoid at night,"I'm currently up paranoid about, well, everything. I can't get to sleep, and I have a feeling of being watched constantly. I have extreme depression and anxiety. I'd really like to not be this paranoid and go to bed. I've tried night lights, ambiance, and warm baths","It sounds like you're struggling with severe paranoia, anxiety, and depression.  Your doctor can help rule out any physical issues that might be contributing to your symptoms. Talking to a counselor or therapist could also be beneficial as they can help explore the root causes of these feelings and offer coping strategies for managing them. Try practicing relaxation techniques like deep breathing exercises or visualization before bed to promote better sleep.  Remember, seeking professional support is crucial for addressing these challenges. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,PARTLY_RELEVANT
37,How can I handle my alcoholic son,"I have an alcoholic son who is draining me financially. I want to get him help, but he doesn't want help. It's making me anxious and depressed","It sounds like your situation is incredibly difficult, and it's understandable to feel overwhelmed with anxiety and depression as a result of your son's addiction.  You have limited control over his choices but can establish boundaries on financial support, seek Al-Anon support groups, and consider seeking grief therapy for yourself. Prioritizing self-care is essential in navigating this challenging situation. 
",RELEVANT,RELEVANT,RELEVANT
38,Is self-diagnosing okay,"I'm currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99% sure I have Borderline Personality Disorder and Avoidant Personality Disorder. I read the DSM-IV, taken college psychology, etc. I know it in my heart I have them. Is self-diagnosing okay with the right research","While self-diagnosing can be tempting, it's important to remember that accurate diagnoses require professional expertise.  Diagnoses are complex and require observation and gathering of data. Seeking help from a qualified mental health professional is crucial for effective treatment and addressing your needs.  Remember, you don't have to go through this alone! 
",RELEVANT,RELEVANT,RELEVANT
39,How do I tell my parents that I think I have some mental problems,I am pretty sure I have depression and anxiety. I also have voices in my head. I have problems sleeping too. I've already been diagnosed with attention-deficit disorder and obsessive-compulsive disorder. I have self-harmed in the last and used to be suicidal. How do I tell them this and ask for therapy,"You are struggling with depression, anxiety, and voices in your head. You've self-harmed in the past and attempted suicide.  It's important to reach out for professional help to manage these feelings. Talking to your parents may be challenging, but seeking therapy is crucial for addressing these challenges. Consider reaching out to a therapist or a trusted adult who can support you during this process. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
40,How do I help my 20 year old boyfriend who says he hates his life,"I think adult life is making him depressed and we often sleep in on weekends untill 1 or 2 pm. We just eat, smoke weed, watch movies, and he'll go on his phone all day. He doesn't seem motivated to do much and he's often angry. I have no clue how to help him take his mind off the negative, or to distract him into a different light. How do I help him","It sounds like you're concerned about your boyfriend's depression.  He seems stuck in a negative cycle of activities and emotions.  **You can help by encouraging him to seek professional help from a therapist.** This is crucial for understanding the root causes of his feelings and developing coping mechanisms. Additionally, **setting healthy boundaries with him,** like spending time apart if he continues to isolate or ignoring you, could be helpful. Remember, you can't ""fix"" him, but you can support him in seeking help and taking steps towards self-improvement. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
41,is it normal not to feel empathy,"I can't seem to feel any emotion except anxiety, not even for myself","You're describing difficulty experiencing empathy and feeling emotions besides anxiety.  It may be related to stress or exhaustion. Try exploring what situations trigger your anxiety and how that relates to potential emotions you might have missed. Even small moments of connection with others, like watching a movie, can help rekindle emotions. Remember to prioritize self-care by engaging in activities that bring joy, even if they seem insignificant initially.  It's normal to feel empty sometimes; it's a sign that something is out of balance. 
",RELEVANT,RELEVANT,PARTLY_RELEVANT
42,How can I take care of my depression from a breakup,"I have been falling into a deep depression where I can no function during the day and night. The only time I am at peace is when I’m asleep. If I am with friends, family, at work, and mainly alone, I cannot think straight. I no longer feel like myself","You are experiencing severe depression symptoms like lack of motivation and difficulty functioning.  It's important to acknowledge these feelings and allow yourself time to process this heartbreak. Seek professional help if needed. Remember, you have strengths and capabilities despite what you feel right now. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
