question_id,question_title,question,question_link,topic,answer,therapist_info
5,Can i learn to be happy alone,I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one. How can I overcome this pain and learn to be happy alone,https://counselchat.com/questions/can-i-learn-to-be-happy-alone,depression,"The power of acceptance is key! Changing your attitude to one of more a positive outlook as we as finding things, activities, places you enjoy and that uplift your spirit. Doing what feels good and finding joy in all things. You may enjoy this very short video Break To Rebuild",Dr. Meredyth LawrynceServing Clients Nationwide
5,Can i learn to be happy alone,I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one. How can I overcome this pain and learn to be happy alone,https://counselchat.com/questions/can-i-learn-to-be-happy-alone,depression,"Is it possible that even though your illness is chronic, that it goes through phases in which you are more comfortable and that it requires less focus from you than at other times?I think the idea of having a lifelong illness is frustrating and can be depressing to think about. Thoughts are not necessarily the truth of what will actually happen though.Illness makes negative situations look worse so be sure you are concentrating on specific areas of your life and not just assuming they will work out badly because you are ill.One way to be happy alone is to love and appreciate, nurture and be kind to yourself.This frame of mind may generate new answers to find ways of being among other people too","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
6,How can I deal with my posttraumatic stress disorder,"I feel angry, anxious, and depressed. The PTSD I suffer is from a past relationship",https://counselchat.com/questions/how-can-i-deal-with-my-posttraumatic-stress-disorder,depression,"I second the suggestion to find a therapist who is trained in Cognitive Processing Therapy (CPT)!I'll also add that all you describe is very common in PTSD. Emotionally, it's an exhausting condition and can take a lot of energy from the body. Depression is a common consequence of PTSD since many people experience functional repercussions (impacts in work, social, and familial settings). It's not fun to feel constantly terrified. To search for a therapist trained in what you are dealing with, it could be helpful to specifically search for folks who specialize in treating PTSD. You can do that through Google searches, or you can also head over to Psychology Today and Therapy Den. Both sites are therapist directories where you can narrow down the type of therapist you are looking for, as well as other factors like insurance they accept and location.You are on the right track coming here so keep up the search","Kaileen McMickle, MS, LPCLicensed Professional Counselor"
6,How can I deal with my posttraumatic stress disorder,"I feel angry, anxious, and depressed. The PTSD I suffer is from a past relationship",https://counselchat.com/questions/how-can-i-deal-with-my-posttraumatic-stress-disorder,depression,"If the symptoms are to the extent that they are affecting your ability to function, you may want to consider seeking treatment. PTSD, anxiety, and depression all typically respond well to treatment if provided by a trained clinician. Common types of treatment for PTSD that you may want to look into include Cognitive Processing Therapy or EMDR. The nice things about Cognitive Processing Therapy is that it is time limited and only lasts 17 sessions typically","Candice Conroy, LMHCFind relief from anxiety, depression, and trauma."
7,How do I know if I have depression,"I had a very troubled up bringing and I'm currently dealing with alot right now. I know some people may not think so, but to me its a lot. I feel overwhelmed. Could this be depression? I use to be in therapy as a child. Alll throughout elementry, middle, and high school I had counseling 2-3 times a week. I haven't be in counseling lately though",https://counselchat.com/questions/how-do-i-know-if-i-have-depression-3,depression,"Thanks for reaching out with this important question!To start, I'll say the diagnosis for depression can differ depending on what the context of those markers are. For example, depression is diagnosed differently if there's a bipolar element or if someone is withdrawing from drugs or alcohol. It doesn't sound like that's what you're experiencing, but those are just two examples of many. How that's diagnosed is a process that a therapist is best equipped to do in person with a thorough assessment. Sometimes we find that depression is subclinical, meaning it doesn't reach the typical level of ""disorder"" (that doesn't mean it's less important or worthy of care). Most of the time, diagnosis doesn't make a huge difference in treatment, but there are some disorders that need pretty specific modalities and components--for example, people with Bipolar I often need medication to help stabilize symptoms.I'd also say that, more importantly, you know yourself best. You are clearly trying to make sense of some things you are feeling and maybe how they are connected to some things you've been through. I can also see you are motivated to feel better! No matter what others think, your perceptions and experiences are most important. You get to decide whether or not your circumstances are a lot for you. Not everyone is built the same and that is certainly impacted by trauma and significant stressors in the developmental years. It's also not your fault that things are hard. You didn't ask for, nor did you create, your life experiences.Overall, if you know some of your healing may come from naming what you feel you can absolutely continue to seek out solid information (and maybe that will be with a counselor if that's what you desire). Kudos to you for asking this question here, too. You are dedicated to yourself whether you see it that way or not","Kaileen McMickle, MS, LPCLicensed Professional Counselor"
7,How do I know if I have depression,"I had a very troubled up bringing and I'm currently dealing with alot right now. I know some people may not think so, but to me its a lot. I feel overwhelmed. Could this be depression? I use to be in therapy as a child. Alll throughout elementry, middle, and high school I had counseling 2-3 times a week. I haven't be in counseling lately though",https://counselchat.com/questions/how-do-i-know-if-i-have-depression-3,depression,"What matters most is how you feel and what you're doing, with whom you're interacting, whether you feel you've got enough interaction to be happy.Whether or not a clinician would decide to identify you as ""depressed"" matters much less than how you actually are feeling, if you have some ideas as to what might improve your sense of being, and how to go about reaching your goals.If therapy during your childhood made you feel better and you feel you may be depressed, then trying therapy at this point in your life, makes sense.The worst that can happen is you find you feel better than you first understood.The best that can happen is you find a caring therapist who helps you find faith in yourself again","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
8,How do I make new friends,"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't hung out with anyone since they left. I'm super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think I'm falling into a depression or something. I just need help",https://counselchat.com/questions/how-do-i-make-new-friends-2,depression,I am sending your loving vibes as you weather this time when you are trying to find new friends. I want to share a video about this very concern. How To Make Friends As An Adult,Dr. Meredyth LawrynceServing Clients Nationwide
8,How do I make new friends,"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't hung out with anyone since they left. I'm super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think I'm falling into a depression or something. I just need help",https://counselchat.com/questions/how-do-i-make-new-friends-2,depression,"Definitely it is sad to lose friends who are a regular part of daily life.How did you meet the two friends who just moved away? Its possible that you could look for similar situations and see if anyone catches your interest to know as a friend.Keeping in mind that friendship is based on trust and common interests, and that these qualities require time to observe and develop, think of what you can do to keep happy while these paths unfold.In addition to being open to meeting new friends, involve yourself in projects from which you'll feel satisfied by your own results","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
10,How do I stop feeling empty,"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way",https://counselchat.com/questions/how-do-i-stop-feeling-empty,depression,"Why do I feel empty?Feelings of emptiness—a lack of meaning or purpose—are experienced by most people at some point in life. However, chronic feelings of emptiness, feelings of emotional numbness or despair, and similar experiences may be symptomatic of other mental health concerns, such as depression, anhedonia, or schizophreniaLIke I say seek to get a check up physically and mentally to see if there are any medical under lining issues","Dr Traci KochendorferTime for you to "" Claim IT"" with over 15 years in health and wellness, Ph.D Psy.D D.D. F.P.L.C. recognized on TV and Magazines,"
10,How do I stop feeling empty,"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way",https://counselchat.com/questions/how-do-i-stop-feeling-empty,depression,"The feeling empty could stem from various factors. Perhaps asking yourself what would helps you feel full, what fills your cup, what does that mean to you for you? When were you last feeling fulfilled? What brings or has brought you joy? Have you read about, or researched what is called Dysphoria",Dr. Meredyth LawrynceServing Clients Nationwide
12,How can I get my husband to listen to my needs and talk to me,"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad."" How can I get through to him so he will take me seriously",https://counselchat.com/questions/how-can-i-get-my-husband-to-listen-to-my-needs-and-talk-to-me,depression,"Oh dear.From what you write, your husband doesn't have any interest to know about you and your sad feelings.Stay clear in understanding that you already did your part by asking him to listen and care about the way you feel.In this example, he told you he doesn't care.Its up to him to open his mind and heart to you.Depending on how motivated to continue asking him to hear you, try until you feel satisfied that you've given him enough chances to know who you are. At a certain number of tries at this, you'll either have success or not.Just don't try forever because doing so will increase your depressed feelings","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
12,How can I get my husband to listen to my needs and talk to me,"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad."" How can I get through to him so he will take me seriously",https://counselchat.com/questions/how-can-i-get-my-husband-to-listen-to-my-needs-and-talk-to-me,depression,"Are you seeing a therapist? Do you take your depression seriously? The seriousness of this is gauged by how he feels about it. People typically feed off our energy. You feel you are depressed and if you want to take massive action towards your healing, doing what is best for you regardless of others’ reactions to it will be key! He may not have any first-hand experience with depression or how to handle it. He could not know how he can help. Regardless your mental health is key and seeking the support you need to move forward in a progressive way is essential. Get the support you need and embrace he may or may not come around as you seek the support you need and deserve",Dr. Meredyth LawrynceServing Clients Nationwide
13,How can I best fight the winter blues,Every winter I find myself getting sad because of the weather. How can I fight this,https://counselchat.com/questions/how-can-i-best-fight-the-winter-blues,depression,"Seasonal Affective Disorder (S.A.D.) is a term that reflects how many people are affected by the changing seasons, especially fall to winter. Everyone suffers with some form of this (lessened activity levels, increased isolation, etc.) while some find that this time of year can put them into a deeper depression. If you have noticed that this happens frequently, there are some ways you can definitely help yourself going forward:1. Attend therapy to learn strategies and tools to help you to manage your mood. It's important to stay within the therapy until you feel you have mastered these tools. 2. Push yourself to interact more with your social groups and other positive activities. It's easy to go out and spend the day outside in the summer months, when the temperature is warm and the sun shines for long periods of the day, but it seems harder to find fun ways to spend your time when the temperature drops and darkness comes on so quickly. Perhaps winter time could become the time of year where you and your friends have weekly board game nights, complete with hot chocolate and a fire?3. You may want to consider the purchase of a S.A.D. Light. These are lights that expose you to additional ultra violet light to increase the vitamin D in our bodies, as well as the release of growth hormone (which releases when we wake up). There are mixed reviews of these products, however, and they can be expensive",Cimberly R. NeskerRegistered Psychotherapist (3579)
13,How can I best fight the winter blues,Every winter I find myself getting sad because of the weather. How can I fight this,https://counselchat.com/questions/how-can-i-best-fight-the-winter-blues,depression,"I would suggest some holistic approaches, such as getting your Vitamin D and iron levels checked. Make sure you are eating well, exercising, and getting outside when you can. Take a trip to someplace warm if possible. Use a sun lamp in the morning for 30 minutes to simulate sunlight. Seek professional health to gain coping skills and other ways to manage symptoms","Christy FoggMarriage, Family, Individual, Premarital, and Teen Counseling"
14,Can I change my feeling of being worthless to everyone,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Dear there could be under lining issues maybe even medical. Energy Work and a good check up could help. Maybe even try Reiki ...professional like myself offer services distance that can help with this. But first go get a good check up. family doctor, blood tests, CAT scan, hormones, women....... always consult your doctor first or if you need immediate help contact a crisis hotline I also would suggest this BOOK to read. If you want something to listen to or practice try this Program","Dr Traci KochendorferTime for you to "" Claim IT"" with over 15 years in health and wellness, Ph.D Psy.D D.D. F.P.L.C. recognized on TV and Magazines,"
14,Can I change my feeling of being worthless to everyone,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in their life. You are not alone. Changing our feelings is like changing our thoughts - it's hard to do. Our minds are so amazing that the minute you change your thought another one can be right there to take it's place. Without your permission, another thought can just pop in there. The new thought may feel worse than the last one! My guess is that you have tried several things to improve this on your own even before reaching out on here. People often try thinking positive thoughts, debating with their thoughts, or simply telling themselves that they need to ""snap out of it"" - which is also a thought that carries some self-criticism. Some people try a different approach, and there are counselors out there that can help you with this. The idea is that instead of trying to change the thoughts, you change how you respond to them. You learn skills that allow you to manage difficult thoughts and feelings differently so they don't have the same impact on you that they do right now. For some people, they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently. Acceptance and Commitment Therapy may be a good choice for you. There is information online and even self-help books that you can use to teach you the skills that I mentioned. Because they are skills, they require practice, but many people have found great relief and an enriched life by learning them. As for suicidal thoughts, I am very glad to read that this has not happened to you. Still, you should watch out for this because it can be a sign of a worsening depression. If you begin to think about this, it is important to reach out to a support system right away. The National Suicide Prevention Lifeline is 1-800-273-8255. The text line is #741741. I hope some other colleagues will provide you more suggestions. Be well...Robin Landwehr, DBH, LPCC","Robin Landwehr, DBH, LPCC, NCCMental Health in a Primary Care Setting"
15,I'm seriously unhappy with everything in my life but I know I don't have any reason to feel this way,I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly. I can't get over the loss of a loved one and I'm not close to my family. What can I do,https://counselchat.com/questions/i-m-seriously-unhappy-with-everything-in-my-life-but-i-know-i-don-t-have-any-reason-to-feel-this-way,depression,Did this begin around the time you suffered the loss of your loved one? You have my deepest condolences. Perhaps the grief around that is what is the root of your being unhappy,Dr. Meredyth LawrynceServing Clients Nationwide
15,I'm seriously unhappy with everything in my life but I know I don't have any reason to feel this way,I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly. I can't get over the loss of a loved one and I'm not close to my family. What can I do,https://counselchat.com/questions/i-m-seriously-unhappy-with-everything-in-my-life-but-i-know-i-don-t-have-any-reason-to-feel-this-way,depression,"Trust and believe your own feelings.Emotions are real and reflect how someone feels about a situation.Since you're sad about losing a loved one, be patient w your feelings about this. Basically, be guided by how you feel and eventually you will feel different emotions which I hope will be happier ones","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
16,How can I stop treating people badly,"I feel like I'm so alone. I treat people horribly based on what's going on in my life and don't realize it. It ends up pushing them away, especially the ones I love the most. I have a weird feeling deep down inside, and it won't go away. I feel like I'm collapsing",https://counselchat.com/questions/how-can-i-stop-treating-people-badly,depression,"Give yourself a little more credit for self-observation!You wrote about treating people horribly and not realizing it. Only if you truly didn't realize what you were doing, then you wouldn't be able to write about it.A little self-examination goes a long way.You have some basic clues about yourself, such as pushing people away whom you love.Start with reflecting on the reasons for your behavior, especially any fears about a negative result from opening your heart to another person.The weird feeling you have is also an area to self-reflect and theorize about. From what you write, you have a solid awareness of your feelings. This is the place to start understanding more about your hesitation in relationship with others. This type of work can be done alone or with a therapist","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
17,How do depression and PMS symptoms contribute to one another and what can I do about it,"I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life. How can I live a more balanced life",https://counselchat.com/questions/how-do-depression-and-pms-symptoms-contribute-to-one-another-and-what-can-i-do-about-it,depression,This is something that would be really awesome to get your healthcare team to collaborate with you on. Discuss medications and any lifestyle adjustments with your primary care provider (PCP); have your PCP do a full bloodwork up to check vitamin levels and thyroid functioning; have your OBGYN or PCP check your hormone levels and make any necessary adjustments or referrals to other providers to help support correcting any hormonal imbalances (possibly an endocrinologist); consult with a registered dietician to see if there's any dietary adjustments you can make to better regulate your hormones and mood. Listen to what your body needs as your cycle changes throughout the month,"Erin Pritchard, MA, LPCC-S | EMDR IntensivesSea Glass Counseling and Consultation"
17,How do depression and PMS symptoms contribute to one another and what can I do about it,"I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life. How can I live a more balanced life",https://counselchat.com/questions/how-do-depression-and-pms-symptoms-contribute-to-one-another-and-what-can-i-do-about-it,depression,"Have you ruled out anything medical? Having a balanced life takes some time and commitment. Sounds like you're ready, but you need someone to help guide you. I would find someone you connect with here. Besides that, check out this app, Brainwaves if you have an iPhone, if not, there's a brainwaves app on the android that helps with your internal brain frequencies to help you to feel better. There are 35 Binaural programs to choose from (iPhone app). The other thing is to create a new routine, incorporating meditation. A good program to follow is NEW START (Nutrition (What are you eating, is it benefiting you?), Exercise (Even a 30 minute Brisk walk is helpful), Water (Are you drinking half your body weight in ounces?), Sunlight (If it's still scarce, look for some Vitamin D to supplement), Temperance (Do you need Mental Health support, like working with a Therapist or Counselor?), Air (Are you getting fresh air in your lungs?), Rest (Are you getting restful sleep?), and Trust (which means Trusting in something bigger that you)). This is a daily thing to do. Hopefully, this helps","Michele RameyMRTherapy, LLC- Because Help Is One Of A Kind"
18,How do I overcome my anxierty and depression,I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me. How do I overcome this anxierty and depression,https://counselchat.com/questions/how-do-i-overcome-my-anxierty-and-depression,depression,"It's hard to answer this without knowing more specifically the anxiety and depression symptoms you are experiencing - but typically treatment for anxiety and depression is multi-faceted. Going to therapy, working with your primary care doctor to check for (and treat) any physical factors, learning healthy coping strategies for your anxiety and depression, increasing your social support, moving your body in ways that feel good, spending time doing something that's meaningful to you - all of these can be helpful for treating anxiety and depression","Erin Pritchard, MA, LPCC-S | EMDR IntensivesSea Glass Counseling and Consultation"
18,How do I overcome my anxierty and depression,I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me. How do I overcome this anxierty and depression,https://counselchat.com/questions/how-do-i-overcome-my-anxierty-and-depression,depression,"Sending your some positive calming vibes ✨🙌 first get a check up with your provider to see if there are any under lining medical issues ....hormone tests, blood tests, cat scans etc.... then when you are ready and referred start talk therapy. If you want to bypass that then do talk therapy or chat. I have services online that you can signup and it is private but it does cost to do so","Dr Traci KochendorferTime for you to "" Claim IT"" with over 15 years in health and wellness, Ph.D Psy.D D.D. F.P.L.C. recognized on TV and Magazines,"
19,My family can't stand me,I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me,https://counselchat.com/questions/my-family-can-t-stand-me,depression,"I am so very sorry for how pressured and sad you feel right now.Definitely all family members have an effect on the other ones.From what you write, your family members are not considering the effect their negative comments have on you.Also, keep in mind that each person is responsible for deciding to argue or find a different way to discuss a problem. You are not in control of the other people in your family.More likely they take the easy way out and blame you for what they don't want to know about themselves.Stay aware that the family's decision to target you doesn't mean that you are doing something wrong. Certainly your existence is not wrong, which is the degree to which the unfairness seems to have spread.What to do about it is read about family systems to see more explanations on how you are being unfairly treated.Also stay in touch with friends bc these are the people who value and respect you","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
19,My family can't stand me,I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me,https://counselchat.com/questions/my-family-can-t-stand-me,depression,"I'm so sorry you're going through this! I think there is almost always someone in the family who becomes the scapegoat and ends up feeling this way sadly. Please know that you are NOT the problem! It sounds like you need to be heard and understood but maybe your family has their own stuff going on and don't know how to handle it so they end up taking it out on you, or maybe they just don't know how to listen and validate because they never learned. Bottom line is there are many reasons they might be treating you this way that have nothing to do with you or your worth. It's your parents' responsibility to love and care for you. You are loveable and worthy regardless. I hope you find a therapist that helps you work through this. You deserve to be happy and loved",Ashton SullivanDialectical Behavior Therapy and EMDR
